         434864648 function calls (411668625 primitive calls) in 430.676 seconds

   Ordered by: cumulative time
   List reduced from 3646 to 150 due to restriction <150>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
1100758/1099198    1.058    0.000    9.841    0.000 {built-in method builtins.sum}
    32500    0.307    0.000    9.298    0.000 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/framework/ops.py:3418(_create_op_internal)
    70/18    0.001    0.000    9.196    0.511 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/eager/function.py:614(forward_backward)
    17/11    0.003    0.000    9.196    0.836 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/eager/function.py:625(_construct_forward_backward)
  890/392    0.023    0.000    9.015    0.023 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/keras/engine/base_layer.py:875(__call__)
  2676156    2.062    0.000    8.957    0.000 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/networkx/classes/multidigraph.py:523(edges)
  1887652    6.481    0.000    8.903    0.000 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/networkx/classes/reportviews.py:769(__init__)
24573/21898    0.037    0.000    8.807    0.000 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/util/dispatch.py:198(wrapper)
  5237136    1.523    0.000    8.780    0.000 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/networkx/classes/reportviews.py:802(<genexpr>)
      480    0.016    0.000    7.764    0.016 /Users/daria/PycharmProjects/review7/dte_stand/dte_stand/algorithm/mate/agents/ppo_agent.py:319(apply_grads)
  7737871    5.793    0.000    7.733    0.000 /Users/daria/.conda/envs/mate/lib/python3.7/copy.py:253(_keep_alive)
    17/11    0.001    0.000    7.574    0.689 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/eager/function.py:653(_backprop_function)
     4040    0.655    0.000    7.179    0.002 /Users/daria/PycharmProjects/review7/dte_stand/dte_stand/algorithm/mate/environment/environment.py:318(_get_link_traffic)
  2676156    2.383    0.000    6.896    0.000 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/networkx/classes/reportviews.py:906(__init__)
 44155528    6.837    0.000    6.872    0.000 {method 'get' of 'dict' objects}
  2986804    4.103    0.000    6.837    0.000 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/networkx/classes/reportviews.py:804(__iter__)
6474/6066    0.020    0.000    6.579    0.001 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/eager/def_function.py:1052(_get_concrete_function_garbage_collected)
6466/6058    0.010    0.000    6.429    0.001 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/eager/def_function.py:1091(get_concrete_function)
        8    0.006    0.001    6.349    0.794 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/saved_model/save.py:168(__init__)
    32500    0.617    0.000    6.318    0.000 /Users/daria/.conda/envs/mate/lib/python3.7/site-packages/tensorflow/python/framework/ops.py:1839(__init__)
4935956/4935812    1.663    0.000    6.230    0.000 /Users/daria/.conda/envs/mate/lib/python3.7/copy.py:274(<genexpr>)
7005472/7004797    2.696    0.000    5.698    0.000 {built-in method builtins.hasattr}
